device,fold,seq_len,train_windows,train_positive,val_windows,val_positive,test_windows,test_positive,status
设备21,0,3,2584,22,320,3,323,2,ready
设备21,0,6,2563,22,314,3,320,2,ready
设备21,0,12,2521,20,302,3,314,2,ready
设备21,0,24,2446,19,278,2,302,2,ready
设备21,1,3,2584,22,320,2,320,3,ready
设备21,1,6,2563,22,314,2,314,3,ready
设备21,1,12,2521,21,302,1,302,3,ready
设备21,1,24,2437,20,287,0,278,2,ready
设备21,2,3,2584,22,320,3,320,2,ready
设备21,2,6,2563,22,314,3,314,2,ready
设备21,2,12,2521,22,302,2,302,1,ready
设备21,2,24,2437,22,278,1,287,0,ready
设备21,3,3,2586,17,318,7,320,3,ready
设备21,3,6,2565,17,312,7,314,3,ready
设备21,3,12,2523,17,300,7,302,2,ready
设备21,3,24,2439,16,276,7,278,1,ready
设备21,4,3,2586,16,320,4,318,7,ready
设备21,4,6,2565,16,314,4,312,7,ready
设备21,4,12,2523,15,302,4,300,7,ready
设备21,4,24,2439,15,278,3,276,7,ready
设备21,5,3,2581,21,323,2,320,4,ready
设备21,5,6,2557,21,320,2,314,4,ready
设备21,5,12,2509,20,314,2,302,4,ready
设备21,5,24,2413,20,302,2,278,3,ready
设备21,6,3,2581,24,320,1,323,2,ready
设备21,6,6,2557,24,314,1,320,2,ready
设备21,6,12,2509,23,302,1,314,2,ready
设备21,6,24,2413,23,278,1,302,2,ready
设备21,7,3,2584,24,320,2,320,1,ready
设备21,7,6,2563,24,314,2,314,1,ready
设备21,7,12,2521,23,302,2,302,1,ready
设备21,7,24,2437,23,278,2,278,1,ready
设备21,8,3,2585,24,322,1,320,2,ready
设备21,8,6,2564,24,319,1,314,2,ready
设备21,8,12,2522,23,313,1,302,2,ready
设备21,8,24,2438,23,301,1,278,2,ready
设备21,9,3,2582,24,323,2,322,1,ready
设备21,9,6,2558,24,320,2,319,1,ready
设备21,9,12,2510,23,314,2,313,1,ready
设备21,9,24,2414,22,302,2,301,1,ready
设备22,0,3,1733,14,217,3,218,1,ready
设备22,0,6,1710,13,214,3,215,1,ready
设备22,0,12,1668,12,208,3,209,1,ready
设备22,0,24,1591,11,196,3,197,1,ready
设备22,1,3,1734,13,214,1,217,3,ready
设备22,1,6,1711,11,208,1,214,3,ready
设备22,1,12,1675,10,196,1,208,3,ready
设备22,1,24,1603,10,179,0,196,3,ready
设备22,2,3,1746,11,205,5,214,1,ready
